customer_id|first_name|last_name|email|mobile|gender|date_of_birth|signup_date
1|Valerie|Neal|vneal58376@zohomail.com|09795016879|Female|1999-03-04|2023-12-22
2|Judy|Coleman|jcoleman45428@gmail.com|09654581529|Female|2005-08-31|2025-01-17
3|Sabrina|Ellis|sellis51844@gmail.com|09227789266|Female|2002-05-27|2023-05-09
4|Sally|Stephenson|sstephenson84199@gmail.com|09569235228|Female|2003-08-08|2023-09-09
5|Jonathan|Hall|jhall66819@zohomail.com|09987185983|Male|1968-05-26|2025-01-27
6|Connie|Cooper|ccooper45948@zohomail.com|+639434150694|Female|1964-01-09|2024-02-01
7|Rachel|Phillips|rphillips13828@zohomail.com|+639137260825|Female|1983-12-15|2023-03-04
8|Jeremy|Ruiz|jruiz80924@yahoo.com|09264507899|Male|1960-12-03|2023-08-24
9|Julia|Mathews|jmathews87290@zohomail.com|09420621555|Female|1993-05-23|2023-05-14
10|Michele|Jones|mjones87041@zohomail.com|+639324535876|Female|2004-05-08|2024-02-26
11|Marc|Bishop|mbishop59610@gmail.com|+639137607112|Male|1981-08-15|2023-03-21
12|Brittany|Gardner|bgardner48140@gmail.com|09251776586|Female|2000-03-18|2023-06-07
13|Destiny|Fischer|dfischer91160@zohomail.com|+639366755134|Female|2002-08-02|2024-04-19
14|Gary|Hines|ghines97726@zohomail.com|09978192972|Male|1989-05-21|2024-07-19
15|Samantha|Washington|swashington16724@zohomail.com|+639407549651|Female|1971-06-01|2023-02-04
16|Katherine|Tucker|ktucker98782@zohomail.com|+639432941909|Female|1973-04-06|2024-07-24
17|Tammy|Moore|tmoore93727@gmail.com|09242448270|Female|1967-06-04|2023-09-01
18|Andrea|Donaldson|adonaldson72724@yahoo.com|09182165034|Female|1993-12-22|2023-01-28
19|Michael|Bradford|mbradford16909@yahoo.com|+639306069455|Male|1963-09-15|2024-05-19
20|Cesar|Gray|cgray23333@zohomail.com|09098082454|Male|1995-07-18|2023-12-07
21|Kayla|Miller|kmiller16750@yahoo.com|+639167451898|Female|1981-01-31|2023-01-23
22|Jessica|Strickland|jstrickland88642@gmail.com|+639381537085|Female|1998-06-26|2023-04-22
23|Marissa|Andersen|mandersen67990@yahoo.com|+639955040397|Female|2004-01-02|2023-10-03
24|James|King|jking23339@yahoo.com|09432197541|Male|1992-08-25|2023-03-21
25|Jillian|Mora|jmora52951@yahoo.com|+639374371988|Female|2003-03-22|2024-01-12
26|Nicole|Jones|njones42601@yahoo.com|+639779289191|Female|1973-01-11|2023-10-18
27|Edwin|Clark|eclark26938@gmail.com|09328708593|Male|1977-10-21|2024-07-02
28|Lauren|Yu|lyu55363@gmail.com|+639246913499|Female|1963-03-11|2025-01-04
29|Deborah|Allen|dallen91293@gmail.com|09206532069|Female|1993-07-27|2023-03-17
30|Laurie|Mcgrath|lmcgrath57172@zohomail.com|09241548983|Female|2001-12-22|2024-05-13
31|Lindsay|Lopez|llopez65314@yahoo.com|+639213625879|Female|1990-12-25|2023-07-05
32|Sandra|Brooks|sbrooks86252@yahoo.com|+639369563628|Female|2005-09-22|2024-07-13
33|Rachel|Jones|rjones15534@yahoo.com|09421989631|Female|1969-12-22|2023-12-03
34|Andrea|Cisneros|acisneros41944@zohomail.com|+639242705323|Female|2004-06-20|2024-12-30
35|Ashley|Barajas|abarajas61620@gmail.com|+639440602427|Female|1963-07-25|2024-01-16
36|Kristen|Garcia|kgarcia77648@gmail.com|09433834123|Female|1961-03-12|2024-06-13
37|Sean|Hayes|shayes46080@gmail.com|09377508044|Male|2006-05-08|2025-01-08
38|Melissa|Booker|mbooker27521@yahoo.com|09376005041|Female|2006-07-07|2024-08-30
